کد,عنوان,تلفن,آدرس,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100001,سوپر میثم نیاوران- 10095,22284165,نیاوران خ احمدی زمانی_م یك,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100002,سوپر مارکت رضا- 10703,  22980360  &  09399684861,میدان نوبنیاد-خیابان لنگری-نبش خیابان صنایع-پلاك12_م1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100003,هایپرمارکت  توچال- 10302,22172601,ولنجک-خیابان14مرکزخرید-توچال طبقه همکف ..م1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100004,سوپر گل فام آتی ساز- 10102, 9_22495068,مینی سیتی شهرك آتی ساز2 برج 4 «برج مـــــــریم»_م یك,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100005,سوپر مارکت ساسان- 10200,&09128120861&22405238/22411448 ,ولنجك خیابان ساسان _م یك(سفارش دهنده آقای مقبلی09122542545),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100006,سوپر مارکت پارک قیطریه- 10158,&22232217&22219182,قیطریه-روبروی پارك دریانی-پلاک65_م1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100007,سوپر مارکت ندا- 10109,&22687949&22207949,چیذر-میدان ندا-جنب بانك پارسیان-خیابان سلیمی-پلاک11_م1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100008,فروشگاه تک- 10715,*22216436*09123088739,چیذر میدان امام زاده خیابـان بــهـمـن پور پلاك 59 م1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100009,سوپر مارکت نیاززاده - 10491,*22438536*22438615*22727218,زعفرانیه-خیابان فیروزكوه-خ نیاززداه-نبش كوچه جعفری-پلاك19.م1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100010,تره بار ولنجک- 10242,/09126167336 /09197846889  ,ولـنـجـك-میدان بهشتی بلوار دانشجو-خیابان گلریزان..م1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100011,غرفه مواد غذایی تره بار ولنجک- 10764,9107587275,تره بار ولنجک - م 1 (غرفه مواد غذایی),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100012,سوپر نگهداری م نیاوران- 10561,09121014042_22825152,ابتدای خ کاشانک خ نصیرآبادی میراث فرهنگی ورزشی _م1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100013,بوفه بهداشت ولنجک- 10700,9121213849,دانشگاه بهشتی اول ورودی جنوبی_م1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100014,سوپر پارک قیطریه بوفه- 10468,9122068754,داخل پارك قیطریه بوفه پارك_م1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100015,سوپر انثار درکه- 10065,9122455175,م دركه خ میر اسماعیلی جنب مسجد جامع ك آقامولائی_م یك,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100016,سوپر کوچولوآخربلوارولنجک- 10247,09122701801/09144527048 ,توچال ایستگاه اول جنب بانك اقتصادنوین_م1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100017,سوپر ایران سالاراقدسیه- 10666,09122956215«26117308 »&09122256215&,آجودانیه-انتهای پنجم شرقی-داخل میدان تره بار_م1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100018,سوپر افق کوروش نیاوران- 10567,09123484678_22753600,خ مقدسی خ احمدی زمانی نبش بن بست احسان پ15 _م1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100019,دانشگاه پیام نورلواسان- 10253,9123599886,اول خ امام خمینی اول كمربندی دانشگاه پیام نور_م1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100020,بازار روز « ارم»- 10753,9124332641,میدان تجریش-خیابان جلالوند-بازار روز ارم غرفه 5 ..م1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100021,دبیرستان زهره تهرانی- 10769,9124545930,شریعتی-خیابان میرزاپور..م1- خانم نصرالهی,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100022,بوفه خوابگاه پسران دانشگاه بهش- 10413,9125048918,دانشگاه شهید بهشتی خوابگاه پسران_م1مسیبی),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100023,سوپر مارکت هشترودی- 10746,912567676914,اوین-خیابان كچویی-جنب تره بار-پلاك2..م1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100024,آبمیوه وبستنی شبانه- 10213,9125795106,خ دركه قبل میدان جنب رستوران شبانه_م یك,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100025,بوفه تک دانشگاه شهیدبهشتی- 10410,9126487274,روبروی دانشگاه اقتصاد(سید)_م1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100026,تره بار قیطریه غرفه 14- 10522,9127237109,اتوبان صدر قبل شریعتی بلوار قلندری آخربلوارقلندری _م1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100027,سوپر قائم شهرک محلاتی- 10150,9127607696,شهرك محلاتی خ آزادگان جنب مسجد_م یك,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100028,سوپر مارکت مطهر- 10730,9127799114,تــجــریش-امــام زاده قاســـم-داخــل حیاط ..م1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
